time,message,logger,level
2025-04-16 10:55:23.3654,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6416,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6416,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6416,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6416,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6425,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6425,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6425,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6425,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6425,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6435,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6435,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6435,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6435,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6435,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6445,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6445,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6445,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6445,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6445,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6455,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6455,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6455,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6455,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6455,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6465,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6465,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6465,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6465,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6465,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6475,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6475,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6475,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6475,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6475,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6485,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6485,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6485,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6485,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6485,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6495,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6495,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6495,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6495,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6495,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6505,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6505,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6505,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6505,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6505,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6514,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6514,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6514,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6514,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6514,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6525,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6525,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6525,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6525,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
2025-04-16 10:55:23.6525,Error running order execution for AGV 67e3c599863469c6e1851832: Object reference not set to an instance of an object.,Execution,Error
