time,message,logger,level
2025-04-28 15:18:19.6055,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.7747,[REST] constructing Door controller,Startup,Info
2025-04-28 15:18:19.8685,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8685,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8696,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8696,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8696,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8696,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8704,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8704,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8704,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8704,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8704,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8714,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8714,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8714,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8714,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8714,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8724,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8724,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8724,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8724,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8724,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8734,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8734,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8734,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8734,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
2025-04-28 15:18:19.8734,Error running order execution for AGV 67c844ecc4246c6846599c43: Object reference not set to an instance of an object.,Execution,Error
