time,message,logger,level
2025-05-05 13:32:32.1745,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.2979,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:32.3173,[REST] constructing Order controller,Startup,Info
2025-05-05 13:32:32.4041,Doorstate DOOR_CLOSED for door 157 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:32.6357,"Received on agvs/5/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:32.6357,"Received data agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6364,"No attachments for data agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6364,"agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:32.6364,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:32.6401,Received on agvs/1/will: Online,MQTT,Info
2025-05-05 13:32:32.6408,Received data agvs/1/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6416,No attachments for data agvs/1/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6416,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:32.6757,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.6766,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.6773,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.7827,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:32.9115,Received on agvs/5/will: Online,MQTT,Info
2025-05-05 13:32:32.9124,Received data agvs/5/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.9124,No attachments for data agvs/5/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.9136,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:33.0118,Doorstate DOOR_CLOSED for door 161 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:33.1387,"Received on agvs/4/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:33.1394,"Received data agvs/4/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:33.1394,"No attachments for data agvs/4/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:33.1394,"agvs/4/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:33.1394,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:33.1783,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.1783,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.1783,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.2947,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:33.6787,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.6787,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
